Nome,Tópico,Progresso,Terminado,Link
,,,No,
https://www.gitshowcase.com/,,,No,https://www.gitshowcase.com/
excalidraw,,,No,https://excalidraw.com/
Colors From Image,,,No,https://html-color-codes.info/colors-from-image/
placeholder,,,No,https://via.placeholder.com/1980x1080
Google Fonts,,,No,https://fonts.google.com/specimen/Titillium+Web?preview.text_type=custom
Google Icons,,,No,https://fonts.google.com/icons?selected=Material+Icons:notifications_off&icon.query=notify
https://keycode.info/,,,No,https://keycode.info/
Outline - Read block sites,,,No,https://outline.com/
Planning Scrum Poker,,,No,https://planningpokeronline.com/
myinstants,,,No,https://www.myinstants.com/trending/br/?page=1
Visualizador EPUB,,,No,https://www.fviewer.com/pt/view-epub
Developer Mozilla,,,No,https://developer.mozilla.org/pt-BR/
w3schools,,,No,https://www.w3schools.com/
Adobe Colors,,,No,https://color.adobe.com/pt/create/color-wheel
Encycolorpedia,,,No,https://encycolorpedia.pt/
Regexr,,,No,https://regexr.com/39oda
Valor de caractere ASCII Hexadecimal,,,No,https://www.pngwing.com/pt/free-png-mtuhh
Miro,,,No,https://miro.com/?utm_source%3Dgoogle%26utm_medium%3Dcpc%26utm_campaign%3DS|GOO|BRN|BR|EN-EN|Brand|Exact%26utm_adgroup=%26utm_custom%3D11605315142%26utm_content%3D479368457454%26utm_term%3Dmiro%26matchtype=e%26device=c%26location=9100719&gclid=Cj0KCQiAoNWOBhCwARIsAAiHnEj8SLNyQQxAZhr5DgYEbM-V5Uf7lh5QiaY8685UL7RN17XN6AL1FUoaAjBuEALw_wcB
,,,No,
Domain Story Modeler,,,No,https://www.wps.de/modeler/